age,birth_date,data_source,first_name,from_year,full_name,height_cm,id,is_active,last_name,position,to_year,weight_kg
32,1993-03-30,api_cached,Ron,2016,Ron Baker,193,1627758,False,Baker,G,2018,99
29,1996-03-29,api_cached,Wade,2016,Wade Baldwin IV,193,1627735,False,Baldwin IV,G,2018,90
31,1994-07-25,api_cached,Cat,2021,Cat Barber,185,1627760,False,Barber,G,2021,78
23,2002-03-02,api_cached,Brooks,2025,Brooks Barnhizer,195,1642964,True,Barnhizer,G,2025,104
30,1995-08-29,api_cached,Paris,2021,Paris Bass,203,1628238,False,Bass,F,2021,90
22,2003-02-21,api_cached,Tamar,2025,Tamar Bates,193,1642926,True,Bates,G,2025,88
24,2001-05-10,api_cached,Jamison,2024,Jamison Battle,200,1642419,True,Battle,F,2025,99
25,2000-08-03,api_cached,Damion,2024,Damion Baugh,193,1641878,False,Baugh,G,2024,87
24,2001-10-08,api_cached,Reece,2024,Reece Beekman,190,1641736,False,Beekman,G,2024,86
31,1995-01-07,api_cached,Jordan,2017,Jordan Bell,200,1628395,False,Bell,F,2021,97
31,1994-07-04,api_cached,DeAndre',2016,DeAndre' Bembry,195,1627761,False,Bembry,G-F,2021,95
28,1997-11-17,api_cached,Dragan,2016,Dragan Bender,213,1627733,False,Bender,F,2019,112
30,1995-03-29,api_cached,Ben,2016,Ben Bentil,205,1627791,False,Bentil,F,2016,106
19,2006-11-11,api_cached,Joan,2025,Joan Beringer,210,1642866,True,Beringer,F,2025,104
36,1989-09-09,api_cached,Dairis,2018,Dairis Bertans,193,1629541,False,Bertans,G,2018,90
27,1998-02-10,api_cached,Tyler,2020,Tyler Bey,200,1630189,False,Bey,F,2020,97
47,1978-05-13,api_cached,Mike,1998,Mike Bibby,187,1710,False,Bibby,G,2011,88
31,1994-07-03,api_cached,Jabari,2017,Jabari Bird,198,1628444,False,Bird,G,2017,89
29,1996-10-04,api_cached,Antonio,2017,Antonio Blakeney,193,1628469,False,Blakeney,G,2018,87
30,1995-11-24,api_cached,Keljin,2020,Keljin Blevins,193,1629833,False,Blevins,G,2021,90
32,1993-09-16,api_cached,Jaron,2018,Jaron Blossomgame,203,1628417,False,Blossomgame,F,2018,99
31,1994-11-04,api_cached,Trevon,2018,Trevon Bluiett,198,1629129,False,Bluiett,G-F,2018,89
30,1996-01-02,api_cached,Jonah,2018,Jonah Bolden,203,1628413,False,Bolden,F,2019,102
25,2000-09-11,api_cached,Leandro,2021,Leandro Bolmaro,198,1630195,False,Bolmaro,F,2022,90
32,1994-01-28,api_cached,Joel,2016,Joel Bolomboy,205,1627762,False,Bolomboy,F-C,2017,106
22,2003-03-28,api_cached,Adem,2024,Adem Bona,208,1641737,True,Bona,F,2025,106
28,1997-11-05,api_cached,Jordan,2019,Jordan Bone,187,1629648,False,Bone,G,2020,81
26,1999-11-08,api_cached,Isaac,2018,Isaac Bonga,203,1629067,False,Bonga,G,2021,81
25,2000-09-18,api_cached,James,2021,James Bouknight,193,1630547,False,Bouknight,G,2023,86
27,1998-10-02,api_cached,Brian,2019,Brian Bowen II,198,1628968,False,Bowen II,F-G,2020,86
28,1997-06-16,api_cached,Ky,2019,Ky Bowman,185,1629065,False,Bowman,G,2019,84
28,1998-01-08,api_cached,Tony,2017,Tony Bradley,208,1628396,True,Bradley,C-F,2025,112
29,1996-06-07,api_cached,Jarrell,2019,Jarrell Brantley,195,1629714,False,Brantley,F,2022,113
27,1999-01-08,api_cached,Ignas,2019,Ignas Brazdeikis,198,1629649,False,Brazdeikis,F,2021,100
23,2002-11-06,api_cached,Koby,2025,Koby Brea,195,1642886,True,Brea,G,2025,97
24,2001-05-14,api_cached,Jalen,2024,Jalen Bridges,203,1641779,False,Bridges,F,2024,102
31,1994-02-11,api_cached,Amida,2020,Amida Brimah,208,1628578,False,Brimah,C,2020,104
29,1996-04-13,api_cached,Isaiah,2018,Isaiah Briscoe,190,1628515,False,Briscoe,G,2018,97
26,1999-07-12,api_cached,Izaiah,2023,Izaiah Brockington,193,1631167,False,Brockington,G,2023,88
35,1990-08-23,api_cached,Ryan,2018,Ryan Broekhoff,198,1629151,False,Broekhoff,G-F,2019,97
27,1998-06-05,api_cached,Armoni,2020,Armoni Brooks,190,1629717,False,Brooks,G,2023,88
25,2000-08-07,api_cached,Keion,2024,Keion Brooks Jr.,200,1631232,False,Brooks Jr.,F,2024,95
23,2002-07-19,api_cached,Johni,2025,Johni Broome,208,1641780,True,Broome,F,2025,106
33,1992-10-10,api_cached,Anthony,2015,Anthony Brown,200,1626148,False,Brown,F-G,2017,101
30,1995-02-10,api_cached,Sterling,2017,Sterling Brown,195,1628425,False,Brown,G-F,2022,99
27,1998-12-04,api_cached,Chaundee,2021,Chaundee Brown Jr.,195,1630602,False,Brown Jr.,F,2021,97
32,1993-03-02,api_cached,Nicolas,2016,Nicolas Brussino,203,1627852,False,Brussino,F,2017,88
20,2005-11-26,api_cached,Carter,2025,Carter Bryant,198,1642868,True,Bryant,F,2025,99
30,1995-04-19,api_cached,Elijah,2020,Elijah Bryant,195,1629091,False,Bryant,G,2020,95
29,1997-01-30,api_cached,Shaq,2021,Shaq Buchanan,190,1629783,False,Buchanan,G,2021,86
32,1994-01-31,api_cached,Deonte,2018,Deonte Burton,193,1629126,False,Burton,G-F,2022,108
23,2002-12-04,api_cached,John,2022,John Butler Jr.,213,1631219,False,Butler Jr.,F,2022,86
21,2004-10-13,api_cached,Matas,2023,Matas Buzelis,203,1641824,True,Buzelis,F,2025,88
29,1996-10-08,api_cached,Devontae,2019,Devontae Cacok,200,1629719,False,Cacok,F,2021,108
34,1991-03-23,api_cached,Facundo,2020,Facundo Campazzo,177,1630267,False,Campazzo,G,2022,88
29,1996-05-21,api_cached,Devin,2020,Devin Cannady,187,1629962,False,Cannady,G,2021,83
24,2001-12-16,api_cached,Dylan,2025,Dylan Cardwell,208,1642928,True,Cardwell,C,2025,115
24,2001-02-25,api_cached,Vernon,2020,Vernon Carey Jr.,208,1630176,False,Carey Jr.,C,2022,122
26,1999-06-14,api_cached,Branden,2024,Branden Carlson,213,1642382,True,Carlson,C,2025,99
20,2005-07-21,api_cached,Bub,2024,Bub Carrington,193,1642267,True,Carrington,G,2025,86
23,2002-03-18,api_cached,Devin,2024,Devin Carter,187,1642269,True,Carter,G,2025,88
21,2004-11-01,api_cached,Stephon,2024,Stephon Castle,198,1642264,True,Castle,G,2025,97
32,1993-08-18,api_cached,Willie,2015,Willie Cauley-Stein,213,1626161,False,Cauley-Stein,C,2022,108
30,1995-11-29,api_cached,Troy,2018,Troy Caupain,193,1628505,False,Caupain,G,2018,95
31,1994-02-09,api_cached,Tyler,2017,Tyler Cavanaugh,205,1628463,False,Cavanaugh,F,2018,107
29,1996-09-12,api_cached,Ahmad,2021,Ahmad Caver,187,1629958,False,Caver,G,2021,78
24,2001-08-27,api_cached,Malcolm,2023,Malcolm Cazalon,198,1630608,False,Cazalon,G,2023,83
23,2002-09-16,api_cached,Kennedy,2022,Kennedy Chandler,180,1631113,False,Chandler,G,2022,77
30,1995-11-01,api_cached,Joe,2018,Joe Chealey,193,1629147,False,Chealey,G,2019,86
30,1995-11-17,api_cached,Zylan,2019,Zylan Cheatham,195,1629597,False,Cheatham,F,2021,99
30,1995-11-21,api_cached,Chris,2018,Chris Chiozza,180,1629185,False,Chiozza,G,2021,79
20,2005-12-30,api_cached,Ulrich,2024,Ulrich Chomche,210,1642279,False,Chomche,C,2024,106
28,1997-07-02,api_cached,Marquese,2016,Marquese Chriss,205,1627737,False,Chriss,F,2021,108
20,2005-07-24,api_cached,Cam,2024,Cam Christie,195,1642353,True,Christie,G,2025,86
34,1991-12-01,api_cached,Rakeem,2015,Rakeem Christmas,205,1626176,False,Christmas,F,2016,113
24,2001-12-08,api_cached,Josh,2021,Josh Christopher,193,1630528,False,Christopher,G,2024,97
23,2002-09-10,api_cached,Moussa,2025,Moussa Cisse,210,1630619,True,Cisse,C,2025,99
31,1994-11-16,api_cached,Gary,2018,Gary Clark,198,1629109,False,Clark,F,2021,102
33,1992-07-04,api_cached,Coty,2015,Coty Clarke,200,1626262,False,Clarke,F,2015,102
32,1993-11-26,api_cached,Gian,2017,Gian Clavell,193,1628492,False,Clavell,G,2017,83
22,2003-03-06,api_cached,Walter,2025,Walter Clayton Jr.,193,1642383,True,Clayton Jr.,G,2025,88
28,1997-07-23,api_cached,Chris,2019,Chris Clemons,175,1629598,False,Clemons,G,2019,81
32,1994-02-02,api_cached,Antonius,2017,Antonius Cleveland,195,1628499,False,Cleveland,G,2019,88
23,2002-02-09,api_cached,Nique,2025,Nique Clifford,195,1642363,True,Clifford,G,2025,79
21,2004-02-23,api_cached,Donovan,2024,Donovan Clingan,218,1642270,True,Clingan,C,2025,127
21,2004-10-08,api_cached,Isaiah,2024,Isaiah Collier,193,1642268,True,Collier,G,2025,95
24,2001-03-07,api_cached,Yuri,2024,Yuri Collins,182,1641879,False,Collins,G,2024,86
34,1991-10-03,api_cached,Kyle,2017,Kyle Collinsworth,198,1627858,False,Collinsworth,G,2017,95
30,1996-01-12,api_cached,Bonzie,2018,Bonzie Colson,198,1629045,False,Colson,F,2018,102
29,1996-04-14,api_cached,Chance,2022,Chance Comanche,208,1628435,False,Comanche,C,2022,95
32,1993-03-23,api_cached,Quinn,2016,Quinn Cook,185,1626188,False,Cook,G,2020,81
28,1997-09-23,api_cached,Tyler,2019,Tyler Cook,203,1629076,False,Cook,F,2021,115
31,1994-07-01,api_cached,Charles,2017,Charles Cooke,195,1628429,False,Cooke,G,2017,88
26,1999-07-11,api_cached,Javonte,2025,Javonte Cooke,198,1631451,True,Cooke,G,2025,83
30,1995-08-19,api_cached,Xavier,2022,Xavier Cooks,203,1641645,False,Cooks,F,2022,83
24,2001-06-11,api_cached,Sharife,2021,Sharife Cooper,182,1630536,True,Cooper,G,2025,79
30,1995-07-26,api_cached,Petr,2021,Petr Cornelie,210,1627822,False,Cornelie,F,2021,99
32,1993-08-05,api_cached,Matt,2017,Matt Costello,208,1627856,False,Costello,F-C,2017,108
22,2003-09-11,api_cached,Cedric,2025,Cedric Coward,195,1642907,True,Coward,G,2025,93
24,2001-11-01,api_cached,Isaiah,2024,Isaiah Crawford,198,1642384,True,Crawford,F,2025,99
33,1992-04-27,api_cached,Mitchell,2018,Mitchell Creek,198,1628249,False,Creek,F-G,2018,102
26,1999-07-18,api_cached,Jalen,2023,Jalen Crutcher,185,1630622,False,Crutcher,G,2023,79
22,2003-05-28,api_cached,Cui,2024,Cui Cui,195,1642385,False,Cui,F,2024,86
26,1999-02-20,api_cached,Jarrett,2019,Jarrett Culver,198,1629633,False,Culver,G-F,2022,88
28,1997-09-22,api_cached,Jarron,2021,Jarron Cumberland,195,1629600,False,Cumberland,G,2021,92
20,2005-07-27,api_cached,Pacôme,2024,Pacôme Dadiet,205,1642359,True,Dadiet,F,2025,95
24,2001-10-19,api_cached,N'Faly,2024,N'Faly Dante,210,1642368,True,Dante,C,2025,104
27,1998-08-30,api_cached,Nate,2020,Nate Darling,198,1630268,False,Darling,G,2020,90
29,1996-12-02,api_cached,Deyonta,2016,Deyonta Davis,210,1627738,False,Davis,C-F,2018,107
28,1997-05-16,api_cached,Terence,2019,Terence Davis,193,1629056,False,Davis,G,2024,91
28,1997-05-22,api_cached,Tyler,2018,Tyler Davis,208,1629093,False,Davis,C,2018,120
33,1993-02-01,api_cached,Branden,2015,Branden Dawson,198,1626183,False,Dawson,F,2015,102
26,1999-10-20,api_cached,Darius,2022,Darius Days,200,1630620,False,Days,F,2022,111
27,1998-04-07,api_cached,Javin,2021,Javin DeLaurier,208,1629602,False,DeLaurier,C,2021,106
30,1995-02-08,api_cached,Gabriel,2020,Gabriel Deck,198,1630466,False,Deck,F,2021,104
33,1992-08-21,api_cached,Bryce,2015,Bryce Dejean-Jones,198,1626214,False,Dejean-Jones,G,2015,92
31,1994-05-06,api_cached,Sam,2015,Sam Dekker,203,1626155,False,Dekker,F,2021,99
36,1989-03-11,api_cached,Malcolm,2016,Malcolm Delaney,190,1627098,False,Delaney,G,2017,86
31,1994-11-20,api_cached,Angel,2018,Angel Delgado,208,1629116,False,Delgado,C,2018,111
26,1999-02-09,api_cached,Dexter,2023,Dexter Dennis,195,1641926,False,Dennis,G,2023,95
24,2001-03-30,api_cached,RayJ,2024,RayJ Dennis,185,1642484,True,Dennis,G,2025,81
30,1996-02-01,api_cached,Marcus,2018,Marcus Derrickson,200,1629094,False,Derrickson,F,2018,112
29,1996-09-13,api_cached,Cheick,2016,Cheick Diallo,203,1627767,False,Diallo,F-C,2021,99
27,1998-07-31,api_cached,Hamidou,2018,Hamidou Diallo,195,1628977,False,Diallo,G,2023,91
20,2005-04-29,api_cached,Mohamed,2025,Mohamed Diawara,205,1642885,True,Diawara,F,2025,102
25,2000-11-25,api_cached,Hunter,2025,Hunter Dickinson,215,1630621,True,Dickinson,C,2025,115
21,2005-01-04,api_cached,Rob,2024,Rob Dillingham,187,1642265,True,Dillingham,G,2025,79
29,1996-02-18,api_cached,Tyler,2017,Tyler Dorsey,193,1628416,False,Dorsey,G,2022,81
31,1994-05-06,api_cached,Damyean,2017,Damyean Dotson,195,1628422,False,Dotson,G,2021,95
26,1999-08-02,api_cached,Devon,2020,Devon Dotson,185,1629653,False,Dotson,G,2022,83
25,2000-12-23,api_cached,Sekou,2019,Sekou Doumbouya,205,1629635,False,Doumbouya,F,2021,104
32,1993-10-31,api_cached,Milton,2017,Milton Doyle,193,1628495,False,Doyle,G,2017,81
29,1996-10-25,api_cached,PJ,2017,PJ Dozier,198,1628408,False,Dozier,G-F,2024,92
25,2000-12-11,api_cached,Alex,2024,Alex Ducas,200,1642505,False,Ducas,G,2024,99
34,1991-12-04,api_cached,Duje,2015,Duje Dukan,205,1626251,False,Dukan,F,2015,99
23,2003-01-07,api_cached,Ryan,2024,Ryan Dunn,200,1642346,True,Dunn,F,2025,97
27,1998-08-03,api_cached,Trevon,2018,Trevon Duval,187,1628979,False,Duval,G,2018,85
19,2006-03-03,api_cached,Egor,2025,Egor Dëmin,203,1642856,True,Dëmin,G,2025,90
28,1997-04-27,api_cached,Jaime,2021,Jaime Echenique,208,1630693,False,Echenique,C,2021,117
23,2002-05-14,api_cached,Zach,2024,Zach Edey,220,1641744,True,Edey,C,2025,138
20,2005-07-30,api_cached,VJ,2025,VJ Edgecombe,193,1642845,True,Edgecombe,G,2025,81
27,1998-03-12,api_cached,Carsen,2019,Carsen Edwards,180,1629035,False,Edwards,G,2021,90
25,2000-03-18,api_cached,Jesse,2024,Jesse Edwards,213,1642399,False,Edwards,C,2024,107
22,2003-12-16,api_cached,Justin,2024,Justin Edwards,200,1642348,True,Edwards,F,2025,92
29,1997-01-20,api_cached,Rob,2021,Rob Edwards,195,1630306,False,Edwards,G,2021,92
29,1996-04-05,api_cached,Vincent,2018,Vincent Edwards,203,1629053,False,Edwards,F,2018,102
25,2000-06-16,api_cached,CJ,2020,CJ Elleby,198,1629604,False,Elleby,F-G,2021,90
29,1997-01-13,api_cached,Henry,2016,Henry Ellenson,208,1627740,False,Ellenson,F-C,2020,108
19,2006-12-18,api_cached,Noa,2025,Noa Essengue,203,1642855,True,Essengue,F,2025,87
26,1999-09-17,api_cached,Tyson,2024,Tyson Etienne,182,1630623,True,Etienne,G,2025,90
28,1997-06-18,api_cached,Jacob,2018,Jacob Evans,193,1628980,False,Evans,G-F,2019,95
29,1996-07-26,api_cached,Jawun,2017,Jawun Evans,182,1628393,False,Evans,G,2018,86
30,1995-12-10,api_cached,Tacko,2019,Tacko Fall,228,1629605,False,Fall,C,2021,141
19,2006-10-14,api_cached,Jeremiah,2025,Jeremiah Fears,190,1642847,True,Fears,G,2025,86
30,1995-03-29,api_cached,Kay,2016,Kay Felder,175,1627770,False,Felder,G,2017,79
33,1992-07-07,api_cached,Cristiano,2015,Cristiano Felicio,210,1626245,False,Felicio,F-C,2020,122
27,1998-05-17,api_cached,Terrance,2017,Terrance Ferguson,198,1628390,False,Ferguson,G,2020,86
32,1993-05-09,api_cached,Yogi,2016,Yogi Ferrell,182,1627812,False,Ferrell,G,2020,80
59,1966-10-17,api_cached,Danny,1990,Danny Ferry,208,198,False,Ferry,F,2002,106
22,2003-11-07,api_cached,Kyle,2024,Kyle Filipowski,210,1642271,True,Filipowski,C,2025,113
28,1997-07-04,api_cached,Malik,2020,Malik Fitts,195,1630238,False,Fitts,F,2021,104
19,2006-12-21,api_cached,Cooper,2025,Cooper Flagg,205,1642843,True,Flagg,F,2025,92
21,2004-07-10,api_cached,Rasheer,2025,Rasheer Fleming,205,1642853,True,Fleming,F,2025,108
20,2005-03-08,api_cached,Trentyn,2024,Trentyn Flowers,205,1642280,True,Flowers,F,2025,83
32,1993-07-23,api_cached,Bryn,2016,Bryn Forbes,187,1627854,False,Forbes,G,2022,92
28,1997-12-22,api_cached,Aleem,2021,Aleem Ford,203,1630758,False,Ford,F,2021,99
23,2003-01-16,api_cached,Michael,2022,Michael Foster Jr.,203,1630701,False,Foster Jr.,F,2022,113
29,1996-12-18,api_cached,Robert,2020,Robert Franks,200,1629606,False,Franks,F,2020,102
31,1994-03-08,api_cached,Michael,2018,Michael Frazier II,190,1626187,False,Frazier II,G,2019,90
29,1996-08-30,api_cached,Melvin,2018,Melvin Frazier Jr.,195,1628982,False,Frazier Jr.,G-F,2021,97
25,2000-07-29,api_cached,Enrique,2024,Enrique Freeman,205,1642402,True,Freeman,F,2025,99
21,2004-12-08,api_cached,Johnny,2024,Johnny Furphy,203,1642277,True,Furphy,G,2025,90
28,1997-03-26,api_cached,Wenyen,2018,Wenyen Gabriel,205,1629117,False,Gabriel,F,2023,92
24,2001-05-21,api_cached,Myron,2025,Myron Gardner,195,1642066,True,Gardner,F,2025,99
32,1993-05-17,api_cached,Patricio,2016,Patricio Garino,198,1627868,False,Garino,G-F,2016,92
31,1994-10-16,api_cached,Billy,2018,Billy Garrett,198,1628656,False,Garrett,G-F,2018,97
59,1966-11-27,api_cached,Dean,1996,Dean Garrett,210,1051,False,Garrett,C,2001,113
27,1998-11-09,api_cached,Marcus,2021,Marcus Garrett,195,1630585,False,Garrett,G,2024,92
29,1996-11-08,api_cached,Kaiser,2023,Kaiser Gates,200,1629232,False,Gates,F,2023,102
33,1992-06-05,api_cached,Michael,2016,Michael Gbinije,200,1627771,False,Gbinije,G-F,2016,90
22,2003-12-12,api_cached,Kyshawn,2024,Kyshawn George,203,1642273,True,George,F,2025,90
31,1994-03-28,api_cached,Marcus,2016,Marcus Georges-Hunt,195,1627875,False,Georges-Hunt,G,2017,102
38,1987-11-08,api_cached,Jonathan,2016,Jonathan Gibson,187,1626780,False,Gibson,G,2018,83
28,1997-06-14,api_cached,Freddie,2020,Freddie Gillespie,205,1630273,False,Gillespie,C,2021,111
24,2001-05-12,api_cached,Vladislav,2025,Vladislav Goldin,213,1642884,True,Goldin,C,2025,113
20,2006-02-05,api_cached,Hugo,2025,Hugo González,198,1642864,True,González,G,2025,90
30,1995-10-02,api_cached,Brandon,2018,Brandon Goodwin,182,1629164,False,Goodwin,G,2021,81
22,2003-04-14,api_cached,Jazian,2024,Jazian Gortman,187,1641789,False,Gortman,G,2024,83
32,1993-10-28,api_cached,Treveon,2016,Treveon Graham,195,1626203,False,Graham,G-F,2019,99
33,1992-10-09,api_cached,Jerian,2015,Jerian Grant,193,1626170,False,Grant,G,2019,89
30,1995-03-19,api_cached,Donte,2018,Donte Grantham,203,1629055,False,Grantham,F,2018,97
29,1996-07-16,api_cached,Hassani,2021,Hassani Gravett,187,1629755,False,Gravett,G,2021,84
32,1993-09-09,api_cached,Josh,2017,Josh Gray,182,1627982,False,Gray,G,2019,81
30,1995-03-08,api_cached,Marko,2019,Marko Guduric,198,1629741,False,Guduric,G,2019,91
28,1997-08-11,api_cached,Kyle,2019,Kyle Guy,185,1629657,False,Guy,G,2021,75
30,1995-07-07,api_cached,Devon,2019,Devon Hall,195,1628985,False,Hall,G,2019,97
28,1997-08-07,api_cached,Donta,2019,Donta Hall,208,1629743,False,Hall,C,2020,104
24,2002-01-14,api_cached,Jordan,2022,Jordan Hall,200,1631160,False,Hall,G,2022,97
25,2000-10-08,api_cached,Josh,2020,Josh Hall,205,1630221,False,Hall,F,2020,86
23,2002-02-21,api_cached,PJ,2024,PJ Hall,203,1641790,True,Hall,C,2025,111
28,1997-03-25,api_cached,Tyler,2021,Tyler Hall,195,1629788,False,Hall,G,2021,94
30,1995-08-08,api_cached,Daniel,2017,Daniel Hamilton,200,1627772,False,Hamilton,G-F,2018,88
33,1992-08-27,api_cached,AJ,2016,AJ Hammons,213,1627773,False,Hammons,C,2016,117
25,2001-02-07,api_cached,R.J.,2020,R.J. Hampton,193,1630181,False,Hampton,G,2023,79
32,1993-09-02,api_cached,Dusty,2018,Dusty Hannahs,190,1628605,False,Hannahs,G,2019,95
26,2000-02-03,api_cached,Elijah,2024,Elijah Harkless,190,1641989,True,Harkless,G,2025,88
19,2006-03-02,api_cached,Dylan,2025,Dylan Harper,195,1642844,True,Harper,G,2025,97
28,1997-09-14,api_cached,Jared,2019,Jared Harper,177,1629607,False,Harper,G,2021,79
25,2000-04-12,api_cached,Ron,2022,Ron Harper Jr.,195,1631199,True,Harper Jr.,G-F,2025,105
32,1994-01-26,api_cached,Montrezl,2015,Montrezl Harrell,200,1626149,False,Harrell,F-C,2022,108
27,1998-08-14,api_cached,Jalen,2020,Jalen Harris,195,1630223,False,Harris,G,2020,88
31,1994-10-28,api_cached,Aaron,2015,Aaron Harrison,198,1626151,False,Harrison,G,2017,95
31,1994-10-28,api_cached,Andrew,2016,Andrew Harrison,198,1626150,False,Harrison,G,2018,96
32,1993-10-06,api_cached,Shaquille,2017,Shaquille Harrison,193,1627885,False,Harrison,G,2023,88
24,2001-07-27,api_cached,Killian,2020,Killian Hayes,195,1630165,False,Hayes,G,2024,88
31,1994-12-16,api_cached,Nigel,2017,Nigel Hayes-Davis,200,1628502,True,Hayes-Davis,F,2025,115
26,1999-08-30,api_cached,Aaron,2021,Aaron Henry,195,1630565,False,Henry,F,2021,95
33,1992-12-23,api_cached,Myke,2017,Myke Henry,198,1627988,False,Henry,F,2017,95
22,2003-02-09,api_cached,Chucky,2025,Chucky Hepburn,182,1642935,True,Hepburn,G,2025,86
29,1996-12-09,api_cached,Dewan,2019,Dewan Hernandez,208,1629608,False,Hernandez,C-F,2019,106
30,1995-09-28,api_cached,Juancho,2016,Juancho Hernangomez,205,1627823,False,Hernangomez,F,2022,97
31,1994-05-27,api_cached,Willy,2016,Willy Hernangomez,210,1626195,False,Hernangomez,C-F,2022,113
29,1996-07-09,api_cached,Kevin,2019,Kevin Hervey,205,1628987,False,Hervey,F,2019,104
30,1995-02-25,api_cached,Mario,2015,Mario Hezonja,203,1626209,False,Hezonja,F-G,2019,99
31,1994-07-24,api_cached,Isaiah,2017,Isaiah Hicks,205,1628439,False,Hicks,F,2018,104
32,1993-04-13,api_cached,Darrun,2015,Darrun Hilliard,198,1626199,False,Hilliard,G,2017,99
26,1999-03-30,api_cached,Jaylen,2019,Jaylen Hoard,203,1629658,False,Hoard,F,2021,97
27,1998-12-20,api_cached,D'Moi,2023,D'Moi Hodge,190,1641793,False,Hodge,G,2023,85
20,2005-07-07,api_cached,Ronald,2023,Ronald Holland II,203,1641842,True,Holland II,F,2025,93
31,1995-01-03,api_cached,Rondae,2015,Rondae Hollis-Jefferson,198,1626178,False,Hollis-Jefferson,F,2020,98
23,2002-08-15,api_cached,DaRon,2024,DaRon Holmes II,205,1641747,True,Holmes II,F,2025,102
29,1996-11-27,api_cached,Caleb,2020,Caleb Homesley,198,1630258,False,Homesley,G,2020,92
32,1993-06-07,api_cached,Danuel,2016,Danuel House Jr.,198,1627863,False,House Jr.,F-G,2023,99
26,1999-03-03,api_cached,Markus,2020,Markus Howard,177,1630210,False,Howard,G,2021,79
32,1993-10-25,api_cached,William,2019,William Howard,203,1629739,False,Howard,F-G,2019,93
26,1999-03-23,api_cached,Trevor,2022,Trevor Hudgins,182,1631309,False,Hudgins,G,2022,81
42,1983-05-25,api_cached,Marcelo,2015,Marcelo Huertas,190,1626273,False,Huertas,G,2016,90
27,1998-03-10,api_cached,Elijah,2020,Elijah Hughes,195,1630190,False,Hughes,G,2021,97
23,2002-04-12,api_cached,Ariel,2024,Ariel Hukporti,213,1630574,True,Hukporti,C,2025,111
28,1998-01-05,api_cached,Isaac,2018,Isaac Humphries,213,1629353,False,Humphries,C,2018,117
26,1999-07-05,api_cached,Feron,2021,Feron Hunt,203,1630624,False,Hunt,F,2021,88
32,1993-10-24,api_cached,RJ,2015,RJ Hunter,195,1626154,False,Hunter,G,2018,83
31,1994-08-05,api_cached,Vincent,2017,Vincent Hunter,203,1626205,False,Hunter,F,2017,94
25,2000-04-20,api_cached,Matt,2023,Matt Hurt,205,1630562,False,Hurt,F,2023,105
29,1996-04-26,api_cached,Chandler,2018,Chandler Hutchison,198,1628990,False,Hutchison,F-G,2021,95
23,2002-07-14,api_cached,Oso,2024,Oso Ighodaro,210,1642345,True,Ighodaro,F,2025,106
23,2002-11-27,api_cached,Harrison,2024,Harrison Ingram,195,1631127,True,Ingram,F,2025,104
50,1975-06-07,api_cached,Allen,1996,Allen Iverson,182,947,False,Iverson,G,2009,74
31,1994-12-20,api_cached,Wes,2017,Wes Iwundu,198,1628411,False,Iwundu,F,2021,88
39,1986-05-06,api_cached,Aaron,2017,Aaron Jackson,190,1628935,False,Jackson,G,2017,83
